candles

open;close;high;low;value;volume;begin;end
12.08;12.08;12.08;12.08;1208;100;2025-09-17 14:56:00;2025-09-17 14:56:59
12.08;12.08;12.08;12.08;676.48;56;2025-09-17 14:58:00;2025-09-17 14:58:59
12.07;12.07;12.07;12.07;108.63;9;2025-09-17 15:04:00;2025-09-17 15:04:59
12.08;12.08;12.08;12.08;314.08;26;2025-09-17 15:06:00;2025-09-17 15:06:59
12.07;12.07;12.07;12.07;12.07;1;2025-09-17 15:09:00;2025-09-17 15:09:59
12.08;12.09;12.09;12.08;8638.5;715;2025-09-17 15:10:00;2025-09-17 15:10:59
12.09;12.07;12.09;12.07;663.87;55;2025-09-17 15:11:00;2025-09-17 15:11:59
12.07;12.07;12.07;12.07;12.07;1;2025-09-17 15:12:00;2025-09-17 15:12:59
12.09;12.09;12.09;12.09;1209;100;2025-09-17 15:14:00;2025-09-17 15:14:59
12.09;12.09;12.09;12.09;84.63;7;2025-09-17 15:15:00;2025-09-17 15:15:59
12.09;12.09;12.09;12.09;60.45;5;2025-09-17 15:16:00;2025-09-17 15:16:59
12.09;12.09;12.09;12.09;36.269999999999996;3;2025-09-17 15:17:00;2025-09-17 15:17:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 15:18:00;2025-09-17 15:18:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 15:19:00;2025-09-17 15:19:59
12.09;12.09;12.09;12.09;1209;100;2025-09-17 15:20:00;2025-09-17 15:20:59
12.09;12.09;12.09;12.09;60.45;5;2025-09-17 15:21:00;2025-09-17 15:21:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 15:22:00;2025-09-17 15:22:59
12.09;12.09;12.09;12.09;169.26000000000002;14;2025-09-17 15:25:00;2025-09-17 15:25:59
12.09;12.09;12.09;12.09;96.72;8;2025-09-17 15:26:00;2025-09-17 15:26:59
12.09;12.08;12.09;12.08;36.26;3;2025-09-17 15:27:00;2025-09-17 15:27:59
12.09;12.08;12.09;12.08;2851.6499999999996;236;2025-09-17 15:28:00;2025-09-17 15:28:59
12.09;12.09;12.09;12.09;60.45;5;2025-09-17 15:29:00;2025-09-17 15:29:59
12.09;12.09;12.09;12.09;181.35;15;2025-09-17 15:30:00;2025-09-17 15:30:59
12.1;12.1;12.1;12.1;12.1;1;2025-09-17 15:32:00;2025-09-17 15:32:59
12.1;12.1;12.1;12.1;60.5;5;2025-09-17 15:33:00;2025-09-17 15:33:59
12.1;12.1;12.1;12.1;24.2;2;2025-09-17 15:34:00;2025-09-17 15:34:59
12.1;12.1;12.1;12.1;290.4;24;2025-09-17 15:36:00;2025-09-17 15:36:59
12.1;12.1;12.1;12.1;29620.800000000003;2448;2025-09-17 15:37:00;2025-09-17 15:37:59
12.1;12.08;12.1;12.08;29632.880000000005;2449;2025-09-17 15:38:00;2025-09-17 15:38:59
12.08;12.08;12.08;12.08;60.4;5;2025-09-17 15:39:00;2025-09-17 15:39:59
12.1;12.1;12.1;12.1;12.1;1;2025-09-17 15:40:00;2025-09-17 15:40:59
12.08;12.07;12.08;12.07;231384.27;19162;2025-09-17 15:42:00;2025-09-17 15:42:59
12.1;12.1;12.1;12.1;484;40;2025-09-17 15:43:00;2025-09-17 15:43:59
